Wall time,Step,Value
1665768107.1708333,0,10.621099472045898
1665769160.621157,1,12.236433982849121
1665770212.4049175,2,12.69697380065918
1665771269.441685,3,6.854303359985352
1665772333.7223403,4,6.719773292541504
1665773390.9781673,5,6.372063159942627
1665774447.9697893,6,6.188097953796387
1665775504.1971965,7,6.14734411239624
1665776570.8559325,8,6.028542995452881
1665777784.0760899,9,4.62697172164917
1665787366.0506911,10,4.100252628326416
1665788441.848777,11,5.895919322967529
1665789517.4116492,12,4.504328727722168
1665790591.5462239,13,4.219696521759033
1665791667.0640543,14,4.659845352172852
1665792741.4598668,15,4.635171890258789
1665793819.1766968,16,3.482412338256836
1665794895.9606795,17,3.20599627494812
1665795973.6985288,18,3.047419309616089
1665797215.1962647,19,3.18894100189209
1665798294.8318403,20,3.344543695449829
1665799374.9178245,21,3.5633108615875244
1665800454.5233722,22,3.6336007118225098
1665801531.7077193,23,2.9223601818084717
1665802610.2673163,24,2.854555368423462
1665803688.458578,25,2.9095864295959473
1665804768.7757726,26,4.978185176849365
1665805847.2593,27,2.8356776237487793
1665806926.175221,28,3.3689661026000977
1665808005.7237175,29,2.8056886196136475
1665809086.6174371,30,3.118021249771118
1665810164.8046951,31,2.8401126861572266
1665811242.2943187,32,2.6501471996307373
1665812318.8090568,33,2.5655767917633057
1665813398.1383538,34,2.959629774093628
1665814474.625066,35,2.992758274078369
1665815554.5118697,36,2.6261444091796875
1665816632.93334,37,2.6973299980163574
1665817709.8524458,38,2.8200783729553223
1665818786.5243266,39,2.649770498275757
1665819863.5275085,40,2.8459911346435547
1665820941.2253215,41,2.8618054389953613
1665822041.0902886,42,2.544644355773926
1665823118.5408783,43,2.7835230827331543
1665824225.2991114,44,2.664594888687134
1665825302.8718119,45,2.6247267723083496
1665826378.60684,46,2.658135175704956
1665827455.2737162,47,2.5457794666290283
1665828535.6659799,48,2.6605441570281982
1665829627.503909,49,2.5862646102905273
1665877475.5152354,50,3.6142733097076416
1665878540.5644224,51,3.0840752124786377
1665879605.6129174,52,2.655022382736206
1665880672.0990202,53,2.5803728103637695
1665881741.382208,54,2.8886890411376953
1665882807.9310305,55,2.7146058082580566
1665883874.8544502,56,2.5791354179382324
1665884940.4811137,57,2.9633631706237793
1665886010.7018712,58,2.8514227867126465
1665887240.9190753,59,2.7404675483703613
1665888307.0466273,60,3.07442307472229
1665889374.1203737,61,2.5773584842681885
1665890445.1536996,62,2.6596879959106445
1665891512.7182586,63,2.9273691177368164
1665892580.0483277,64,2.6545236110687256
1665893647.4874723,65,2.9151394367218018
1665894718.3959982,66,2.5778310298919678
1665895794.8422477,67,2.461735963821411
1665896885.5964866,68,2.485262632369995
1665897957.7251103,69,2.4833219051361084
1665899029.618336,70,2.481119155883789
1665900103.011206,71,2.515615463256836
1665901175.1227298,72,2.621166944503784
1665902247.296759,73,2.480301856994629
1665903318.9240303,74,2.459244728088379
1665904391.0981114,75,2.4429240226745605
1665905487.9663024,76,2.443371534347534
1665906561.0155504,77,2.511228322982788
1665907634.2051263,78,2.515854597091675
1665908715.779561,79,2.453585147857666
1665960021.8301775,80,2.4217004776000977
1665961091.9118104,81,2.480797529220581
1665962160.4830701,82,2.4349212646484375
1665963231.3774412,83,2.4406943321228027
1665964302.8273175,84,2.475353479385376
1665965373.9809244,85,2.4157001972198486
1665966443.8713837,86,2.427722930908203
1665967515.2201679,87,2.43990421295166
1665968584.535104,88,2.4287734031677246
1665969820.2793126,89,2.423070192337036
1665970890.5090797,90,2.428361654281616
1665971965.0337508,91,2.407071352005005
1665973040.384173,92,2.4161055088043213
1665974113.5776339,93,2.438234329223633
1665975188.4296026,94,2.4372551441192627
1665976258.7794788,95,2.429307699203491
1665977332.6185265,96,2.4145431518554688
1665978403.9082572,97,2.4182631969451904
1665979477.607178,98,2.4200048446655273
1665980550.9958162,99,2.4270787239074707
