Wall time,Step,Value
1665768107.1708333,0,0.06881362944841385
1665769160.621157,1,0.06457314640283585
1665770212.4049175,2,0.08834268897771835
1665771269.441685,3,0.2322099208831787
1665772333.7223403,4,0.2484939843416214
1665773390.9781673,5,0.3185160458087921
1665774447.9697893,6,0.3515280485153198
1665775504.1971965,7,0.36182063817977905
1665776570.8559325,8,0.4163607358932495
1665777784.0760899,9,0.4598937928676605
1665787366.0506911,10,0.520221471786499
1665788441.848777,11,0.33979159593582153
1665789517.4116492,12,0.48319438099861145
1665790591.5462239,13,0.5580130219459534
1665791667.0640543,14,0.5059243440628052
1665792741.4598668,15,0.5109894871711731
1665793819.1766968,16,0.6408156156539917
1665794895.9606795,17,0.6843822598457336
1665795973.6985288,18,0.6956377625465393
1665797215.1962647,19,0.6803687214851379
1665798294.8318403,20,0.6826267242431641
1665799374.9178245,21,0.6568386554718018
1665800454.5233722,22,0.6228055953979492
1665801531.7077193,23,0.7246543169021606
1665802610.2673163,24,0.7364363670349121
1665803688.458578,25,0.7359233498573303
1665804768.7757726,26,0.48238426446914673
1665805847.2593,27,0.7396934032440186
1665806926.175221,28,0.6893802881240845
1665808005.7237175,29,0.7499403953552246
1665809086.6174371,30,0.7094073295593262
1665810164.8046951,31,0.7569358944892883
1665811242.2943187,32,0.7709699273109436
1665812318.8090568,33,0.7942414879798889
1665813398.1383538,34,0.7436909079551697
1665814474.625066,35,0.725916862487793
1665815554.5118697,36,0.7737164497375488
1665816632.93334,37,0.7769649028778076
1665817709.8524458,38,0.7564539313316345
1665818786.5243266,39,0.7772224545478821
1665819863.5275085,40,0.7569478750228882
1665820941.2253215,41,0.7499408721923828
1665822041.0902886,42,0.8045035004615784
1665823118.5408783,43,0.7617053985595703
1665824225.2991114,44,0.7782224416732788
1665825302.8718119,45,0.7822279334068298
1665826378.60684,46,0.77696692943573
1665827455.2737162,47,0.7974950075149536
1665828535.6659799,48,0.7809769511222839
1665829627.503909,49,0.7867299318313599
1665877475.5152354,50,0.6400676369667053
1665878540.5644224,51,0.712401807308197
1665879605.6129174,52,0.7817304730415344
1665880672.0990202,53,0.8065000176429749
1665881741.382208,54,0.7612074017524719
1665882807.9310305,55,0.7804754376411438
1665883874.8544502,56,0.7949859499931335
1665884940.4811137,57,0.7436873912811279
1665886010.7018712,58,0.7516878843307495
1665887240.9190753,59,0.7657074332237244
1665888307.0466273,60,0.7244153022766113
1665889374.1203737,61,0.7962439656257629
1665890445.1536996,62,0.7844769358634949
1665891512.7182586,63,0.7444418668746948
1665892580.0483277,64,0.7879829406738281
1665893647.4874723,65,0.7419268488883972
1665894718.3959982,66,0.788733959197998
1665895794.8422477,67,0.8132565021514893
1665896885.5964866,68,0.8110005259513855
1665897957.7251103,69,0.8125079870223999
1665899029.618336,70,0.8165095448493958
1665900103.011206,71,0.8057469725608826
1665901175.1227298,72,0.7857244610786438
1665902247.296759,73,0.8120065331459045
1665903318.9240303,74,0.8157615065574646
1665904391.0981114,75,0.8170109987258911
1665905487.9663024,76,0.8225155472755432
1665906561.0155504,77,0.8057479858398438
1665907634.2051263,78,0.8042470216751099
1665908715.779561,79,0.8140069842338562
1665960021.8301775,80,0.8230155110359192
1665961091.9118104,81,0.8110055327415466
1665962160.4830701,82,0.8192610144615173
1665963231.3774412,83,0.8170095086097717
1665964302.8273175,84,0.8125079870223999
1665965373.9809244,85,0.8220125436782837
1665966443.8713837,86,0.822765052318573
1665967515.2201679,87,0.8180115222930908
1665968584.535104,88,0.8220134973526001
1665969820.2793126,89,0.8205110430717468
1665970890.5090797,90,0.8195105195045471
1665971965.0337508,91,0.8255165219306946
1665973040.384173,92,0.8215115070343018
1665974113.5776339,93,0.81825852394104
1665975188.4296026,94,0.8177595138549805
1665976258.7794788,95,0.8190110325813293
1665977332.6185265,96,0.8212640285491943
1665978403.9082572,97,0.8205135464668274
1665979477.607178,98,0.8210140466690063
1665980550.9958162,99,0.8205130100250244
