Wall time,Step,Value
1670380380.9809344,0,23.655914306640625
1670381048.8392165,1,21.276351928710938
1670381716.3348684,2,19.634233474731445
1670382384.110332,3,17.973899841308594
1670383051.8705132,4,16.795045852661133
1670383719.6315715,5,17.172239303588867
1670384387.5666285,6,15.962067604064941
1670385055.092833,7,16.763174057006836
1670385722.4910197,8,16.090667724609375
1670386479.5184307,9,15.508910179138184
1670387147.7688515,10,15.990314483642578
1670387815.5582552,11,14.007721900939941
1670388483.1382263,12,14.708146095275879
1670389151.2340648,13,15.915542602539062
1670389819.3396454,14,14.594403266906738
1670390487.787276,15,14.551307678222656
1670391155.6028564,16,13.80381965637207
1670391823.6327543,17,17.013870239257812
1670392491.340117,18,14.083744049072266
1670393160.25256,19,13.755053520202637
1670466143.013217,20,15.686034202575684
1670466802.1257606,21,13.080059051513672
1670467461.2746868,22,11.9122896194458
1670468121.0594885,23,13.802654266357422
1670468784.613466,24,12.847471237182617
1670469444.0931597,25,13.660371780395508
1670470104.1276793,26,12.778435707092285
1670470764.5604286,27,12.459118843078613
1670471429.6597764,28,11.795806884765625
1670472191.72677,29,11.725379943847656
1670472854.9862444,30,11.857288360595703
1670473513.8673744,31,12.006942749023438
1670474177.3228457,32,11.700373649597168
1670474840.9972982,33,11.591133117675781
1670475504.6942475,34,12.0058012008667
1670476164.3668468,35,11.786495208740234
1670476828.7517486,36,11.749532699584961
1670477492.5106657,37,11.512657165527344
1670478156.693613,38,11.762947082519531
1670478816.750352,39,11.773242950439453
1670551425.831535,40,11.804677963256836
1670552075.7125802,41,11.719188690185547
1670552725.4524403,42,11.799409866333008
1670553376.5711513,43,11.835122108459473
1670554025.2829967,44,11.81205940246582
1670554674.5345469,45,11.682063102722168
1670555324.154555,46,11.538915634155273
1670555973.4283009,47,12.08042049407959
1670556623.164735,48,11.512916564941406
1670557369.8155856,49,11.510891914367676
1670558018.165231,50,11.635857582092285
1670558666.6857374,51,11.596842765808105
1670559315.483061,52,11.567087173461914
1670559964.4583526,53,11.560709953308105
1670560613.6352065,54,11.716498374938965
1670561274.8580894,55,11.605162620544434
1670561935.2554557,56,11.469035148620605
1670562595.344375,57,11.493833541870117
1670563255.3814838,58,11.546469688415527
1670563916.4318697,59,11.548508644104004
1670977436.620314,80,11.50588321685791
1670978109.9972293,81,11.516937255859375
1670978776.82335,82,11.51550579071045
1670979443.6420293,83,11.505268096923828
1670980107.9514604,84,11.503408432006836
1670980774.8546288,85,11.50323486328125
1670981441.222958,86,11.491169929504395
1670982107.7516692,87,11.503166198730469
1670982771.875257,88,11.499449729919434
1670983536.3023932,89,11.48403549194336
1670984201.5804784,90,11.523186683654785
1671238300.6459246,80,11.51746654510498
1671238964.712134,81,11.51059341430664
1671239629.3102725,82,11.517656326293945
1671240293.224096,83,11.515054702758789
1671240960.4965072,84,11.507462501525879
1671241623.909466,85,11.502238273620605
1671242287.3209753,86,11.510772705078125
1671242951.0276577,87,11.509952545166016
1671243618.612739,88,11.508553504943848
1671244380.6588304,89,11.515106201171875
1671245045.268614,90,11.487435340881348
1671245709.4139435,91,11.479437828063965
1671246378.6644862,92,11.515067100524902
1671247043.404982,93,11.514272689819336
1671247707.7209098,94,11.517544746398926
1671248371.8666553,95,11.51619815826416
1671249040.168398,96,11.511280059814453
1671249706.486033,97,11.481029510498047
1671250373.622411,98,11.486034393310547
1671251038.9586747,99,11.492627143859863
