Wall time,Step,Value
1665768035.7557712,0,22.547653198242188
1665769090.0019996,1,13.060726165771484
1665770141.6785088,2,11.13785457611084
1665771196.1940558,3,10.201147079467773
1665772261.2756484,4,9.32225227355957
1665773316.6087687,5,8.472647666931152
1665774372.9397707,6,7.92484188079834
1665775428.823613,7,7.337869644165039
1665776495.157539,8,6.915848255157471
1665777706.8130114,9,6.523801803588867
1665787284.1131966,10,6.224427223205566
1665788364.2592351,11,5.9751081466674805
1665789441.1142826,12,5.816005229949951
1665790514.145853,13,5.773336887359619
1665791589.20727,14,5.487555503845215
1665792664.451853,15,5.303210258483887
1665793739.7544885,16,4.069309234619141
1665794817.184058,17,3.8805298805236816
1665795894.6086226,18,3.8038454055786133
1665797135.1615002,19,3.718524217605591
1665798213.567957,20,3.6816627979278564
1665799293.579874,21,3.6581385135650635
1665800373.4756858,22,3.6220827102661133
1665801450.5619433,23,3.5410258769989014
1665802528.8252714,24,3.536766767501831
1665803607.374859,25,3.5915980339050293
1665804687.4978776,26,3.5031254291534424
1665805766.372761,27,3.4686670303344727
1665806844.842276,28,3.4223477840423584
1665807924.1555583,29,3.4209115505218506
1665809005.667839,30,3.422079563140869
1665810082.668018,31,3.3965485095977783
1665811161.7621014,32,3.3604791164398193
1665812237.3279767,33,3.3487002849578857
1665813316.6042254,34,3.323073625564575
1665814393.425241,35,3.3043107986450195
1665815472.785566,36,3.3015992641448975
1665816551.853625,37,3.2677712440490723
1665817628.3443415,38,3.2490079402923584
1665818704.8981137,39,3.102714776992798
1665819782.0204046,40,3.056328058242798
1665820859.4729946,41,3.042832136154175
1665821959.751338,42,3.045436143875122
1665823036.7174861,43,3.028542995452881
1665824143.3395965,44,3.0294485092163086
1665825221.2526052,45,3.0139427185058594
1665826297.0877254,46,3.022670030593872
1665827373.9097426,47,3.0006933212280273
1665828453.7374923,48,2.9379186630249023
1665829543.9256623,49,2.9579946994781494
1665877393.6807415,50,3.166294574737549
1665878462.6367044,51,3.194272041320801
1665879528.3102505,52,3.2122795581817627
1665880594.0150404,53,3.1822564601898193
1665881662.985705,54,3.143996000289917
1665882729.7062,55,3.136185646057129
1665883796.5360777,56,3.160590887069702
1665884862.7409117,57,3.131030797958374
1665885932.1647334,58,3.113325834274292
1665887161.8506632,59,3.0968010425567627
1665888227.6500576,60,3.0925612449645996
1665889294.1456356,61,3.087700843811035
1665890365.8196266,62,3.080854892730713
1665891433.0404105,63,3.0662472248077393
1665892500.2140644,64,3.0865747928619385
1665893568.137776,65,3.0353920459747314
1665894638.702307,66,3.020799398422241
1665895713.789296,67,2.8384435176849365
1665896804.5122917,68,2.8299381732940674
1665897876.2806635,69,2.8131234645843506
1665898948.3153667,70,2.7901124954223633
1665900021.5363479,71,2.8020923137664795
1665901094.0072722,72,2.78322172164917
1665902165.7281435,73,2.758863925933838
1665903237.1052363,74,2.760042428970337
1665904310.123078,75,2.7578136920928955
1665905406.4601917,76,2.7528560161590576
1665906479.8374357,77,2.7216341495513916
1665907552.8865302,78,2.7537076473236084
1665908634.2890768,79,2.7557947635650635
1665959938.7436576,80,2.733283281326294
1665961014.793715,81,2.7392823696136475
1665962083.5601523,82,2.7564282417297363
1665963154.2913752,83,2.729421615600586
1665964225.7282398,84,2.7331643104553223
1665965297.0499995,85,2.7266926765441895
1665966366.8173463,86,2.73974347114563
1665967438.2051663,87,2.7390506267547607
1665968507.5211031,88,2.7419681549072266
1665969742.8439288,89,2.7663352489471436
1665970813.1147335,90,2.74751353263855
1665971886.180078,91,2.7288594245910645
1665972959.390555,92,2.7231318950653076
1665974034.6989384,93,2.713061571121216
1665975109.3136914,94,2.7144052982330322
1665976180.0238953,95,2.735172748565674
1665977253.6187212,96,2.721249580383301
1665978325.344849,97,2.7263450622558594
1665979398.660421,98,2.728595733642578
1665980472.207203,99,2.6975185871124268
