Wall time,Step,Value
1670121148.5973911,0,14.310203552246094
1670124265.6864865,1,8.844596862792969
1670127372.6633978,2,7.733543395996094
1670130480.267355,3,7.176828861236572
1670133679.857621,4,6.758275508880615
1670136790.3860433,5,6.468211650848389
1670139903.3494442,6,6.230299472808838
1670143012.2838132,7,6.018227577209473
1670146121.1955814,8,5.892010688781738
1670149232.8830936,9,5.730599880218506
1670209182.6220758,10,5.627281188964844
1670212290.1884851,11,5.515222549438477
1670215394.0090861,12,5.471780776977539
1670218498.5201805,13,5.36439323425293
1670221702.745741,14,5.2957024574279785
1670224806.3745582,15,5.224761486053467
1670227912.6242456,16,5.19566535949707
1670231018.2962792,17,4.495057106018066
1670234128.0881014,18,4.381589889526367
1670237242.3848243,19,4.324641227722168
1670296179.6810446,20,4.303567886352539
1670299303.8544855,21,4.271790504455566
1670302424.904625,22,4.243642807006836
1670305546.8922484,23,4.228567123413086
1670308775.2019773,24,4.210282325744629
1670311903.2024305,25,4.091935634613037
1670315029.1215708,26,4.0734148025512695
1670318155.9767065,27,4.0623064041137695
1670321278.8827095,28,4.05683708190918
1670324403.4575026,29,4.052468299865723
1671582640.0003507,30,4.025801658630371
1671585753.836158,31,4.014745235443115
1671588861.1729598,32,4.01764440536499
1671591972.036181,33,4.0219807624816895
1671595178.4785883,34,4.0154500007629395
1671598286.6687567,35,4.006322860717773
1671601397.3007944,36,3.9979922771453857
1671604506.9835067,37,4.0172200202941895
1671607616.7035623,38,4.003350257873535
1671610726.7878878,39,4.004532337188721
