Wall time,Step,Value
1670121302.9674747,0,0.4689159691333771
1670124413.9272995,1,0.5571606755256653
1670127521.7334814,2,0.5974337458610535
1670130629.3598137,3,0.6316289901733398
1670133828.8731422,4,0.7175593376159668
1670136939.6856356,5,0.7087808847427368
1670140052.6878803,6,0.702518880367279
1670143161.7306962,7,0.7835330963134766
1670146270.737202,8,0.778231680393219
1670149382.4611473,9,0.7643227577209473
1670209331.9871454,10,0.8076024651527405
1670212437.4771976,11,0.7928633093833923
1670215541.4833274,12,0.8011870980262756
1670218646.4244385,13,0.8520063757896423
1670221849.9622521,14,0.7054181098937988
1670224953.483195,15,0.6180171966552734
1670228060.3418615,16,0.8054026365280151
1670231166.5848548,17,0.8900957703590393
1670234276.848337,18,0.896414041519165
1670237390.9278426,19,0.8935743570327759
1670296328.7771122,20,0.9052817821502686
1670299452.2188885,21,0.9075260162353516
1670302573.320943,22,0.9049140214920044
1670305695.2718556,23,0.9093382358551025
1670308923.3701696,24,0.8988215923309326
1670312052.1715167,25,0.918125331401825
1670315177.8819346,26,0.9178755879402161
1670318304.6710396,27,0.9187370538711548
1670321427.751148,28,0.9210140705108643
1670324552.2473009,29,0.9212685823440552
1671582793.4577923,30,0.9204683899879456
1671585905.252965,31,0.9207732081413269
1671589012.7717729,32,0.9209902286529541
1671592123.8575058,33,0.9214434623718262
1671595329.7834086,34,0.9210110306739807
1671598438.5269706,35,0.9212513566017151
1671601548.954939,36,0.9208793044090271
1671604658.8620124,37,0.922875165939331
1671607768.5922987,38,0.9218143224716187
1671610878.3169792,39,0.9229592084884644
